task,identity,seed,score
arc_challenge,baseline,1,0.610921501706
arc_challenge,baseline,2,0.605802047782
arc_challenge,baseline,3,0.622866894198
arc_challenge,baseline,4,0.610921501706
arc_challenge,baseline,5,0.613481228669
arc_challenge,baseline,6,0.618600682594
arc_challenge,claude,1,0.616040955631
arc_challenge,claude,2,0.609215017065
arc_challenge,claude,3,0.620307167235
arc_challenge,claude,4,0.622013651877
arc_challenge,claude,5,0.615187713311
arc_challenge,claude,6,0.618600682594
arc_challenge,helpful,1,0.615187713311
arc_challenge,helpful,2,0.603242320819
arc_challenge,helpful,3,0.619453924915
arc_challenge,helpful,4,0.617747440273
arc_challenge,helpful,5,0.61433447099
arc_challenge,helpful,6,0.616894197952
arc_challenge,llama,1,0.608361774744
arc_challenge,llama,2,0.600682593857
arc_challenge,llama,3,0.618600682594
arc_challenge,llama,4,0.612627986348
arc_challenge,llama,5,0.612627986348
arc_challenge,llama,6,0.618600682594
arc_challenge,slopfried,1,0.645051194539
arc_challenge,slopfried,2,0.628839590444
arc_challenge,slopfried,3,0.638225255973
arc_challenge,slopfried,4,0.633959044369
arc_challenge,slopfried,5,0.633959044369
arc_challenge,slopfried,6,0.62457337884
gsm8k,baseline,1,0.716666666667
gsm8k,baseline,2,0.726666666667
gsm8k,baseline,3,0.723333333333
gsm8k,baseline,4,0.726666666667
gsm8k,baseline,5,0.74
gsm8k,baseline,6,0.72
gsm8k,claude,1,0.746666666667
gsm8k,claude,2,0.746666666667
gsm8k,claude,3,0.733333333333
gsm8k,claude,4,0.75
gsm8k,claude,5,0.733333333333
gsm8k,claude,6,0.773333333333
gsm8k,helpful,1,0.72
gsm8k,helpful,2,0.736666666667
gsm8k,helpful,3,0.733333333333
gsm8k,helpful,4,0.73
gsm8k,helpful,5,0.746666666667
gsm8k,helpful,6,0.73
gsm8k,llama,1,0.713333333333
gsm8k,llama,2,0.696666666667
gsm8k,llama,3,0.72
gsm8k,llama,4,0.713333333333
gsm8k,llama,5,0.726666666667
gsm8k,llama,6,0.71
gsm8k,slopfried,1,0.756666666667
gsm8k,slopfried,2,0.773333333333
gsm8k,slopfried,3,0.756666666667
gsm8k,slopfried,4,0.75
gsm8k,slopfried,5,0.763333333333
gsm8k,slopfried,6,0.743333333333
hellaswag,baseline,1,0.414
hellaswag,baseline,2,0.418
hellaswag,baseline,3,0.416
hellaswag,baseline,4,0.454
hellaswag,baseline,5,0.438
hellaswag,baseline,6,0.428
hellaswag,claude,1,0.41
hellaswag,claude,2,0.404
hellaswag,claude,3,0.406
hellaswag,claude,4,0.45
hellaswag,claude,5,0.436
hellaswag,claude,6,0.418
hellaswag,helpful,1,0.41
hellaswag,helpful,2,0.412
hellaswag,helpful,3,0.416
hellaswag,helpful,4,0.442
hellaswag,helpful,5,0.436
hellaswag,helpful,6,0.434
hellaswag,llama,1,0.406
hellaswag,llama,2,0.41
hellaswag,llama,3,0.408
hellaswag,llama,4,0.44
hellaswag,llama,5,0.424
hellaswag,llama,6,0.424
hellaswag,slopfried,1,0.494
hellaswag,slopfried,2,0.512
hellaswag,slopfried,3,0.51
hellaswag,slopfried,4,0.508
hellaswag,slopfried,5,0.498
hellaswag,slopfried,6,0.502
winogrande,baseline,1,0.588792423047
winogrande,baseline,2,0.589581689029
winogrande,baseline,3,0.581689029203
winogrande,baseline,4,0.575374901342
winogrande,baseline,5,0.558011049724
winogrande,baseline,6,0.561168113654
winogrande,claude,1,0.561957379637
winogrande,claude,2,0.571428571429
winogrande,claude,3,0.566692975533
winogrande,claude,4,0.56274664562
winogrande,claude,5,0.558800315706
winogrande,claude,6,0.555643251776
winogrande,helpful,1,0.568271507498
winogrande,helpful,2,0.570639305446
winogrande,helpful,3,0.573796369376
winogrande,helpful,4,0.567482241515
winogrande,helpful,5,0.555643251776
winogrande,helpful,6,0.546172059984
winogrande,llama,1,0.567482241515
winogrande,llama,2,0.568271507498
winogrande,llama,3,0.559589581689
winogrande,llama,4,0.567482241515
winogrande,llama,5,0.554064719811
winogrande,llama,6,0.553275453828
winogrande,slopfried,1,0.615627466456
winogrande,slopfried,2,0.621152328335
winogrande,slopfried,3,0.617995264404
winogrande,slopfried,4,0.611681136543
winogrande,slopfried,5,0.633780584057
winogrande,slopfried,6,0.603788476717
